C2MH,red,2019-11-11 19:29:42,Neural network,similar,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:29:43,computer architecture,searchbox,,,,,,,,,,,,,
QI92,green,2019-11-11 19:29:43,c,searchbox,,,,,,,,,,,,,
5MGY,yellow,2019-11-11 19:29:44,computer architecture,searchbox,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:29:46,Transactional memory,remove,,,,,,,,,,,,,
TYNN,yellow,2019-11-11 19:29:46,computer architecture cyber security,searchbox,,,,,,,,,,,,,
QI92,green,2019-11-11 19:29:49,ca,searchbox,,,,,,,,,,,,,
TDFS,blue,2019-11-11 19:29:50,Wireless network,remove,,,,,,,,,,,,,
LHQ5,blue,2019-11-11 19:29:51,Machine learning,similar,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:29:54,Computer architecture,direct,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:29:55,Operating system,remove,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:29:55,Embedded system,remove,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:29:56,Neural network,remove,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:29:59,Machine learning,similar,,,,,,,,,,,,,
IKBJ,yellow,2019-11-11 19:29:59,architecture,searchbox,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:30:00,Embedded system,similar,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:30:00,sports,searchbox,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:30:00,Artificial intelligence,similar,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:30:05,Data warehouse,direct,,,,,,,,,,,,,
OH12,red,2019-11-11 19:30:05,Neural network,similar,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:30:05,anal,searchbox,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:30:07,carnegie mellon machine learning,searchbox,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:30:09,Machine learning,remove,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:30:10,Artificial intelligence,remove,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:30:11,carnegie mellon machine learning,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:30:13,b,searchbox,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:30:14,Parallel computing,similar,,,,,,,,,,,,,
QI92,green,2019-11-11 19:30:15,machinene,searchbox,,,,,,,,,,,,,
QI92,green,2019-11-11 19:30:15,machine,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:30:16,a,searchbox,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:30:17,Operating system,similar,,,,,,,,,,,,,
C2MH,red,2019-11-11 19:30:17,Artificial intelligence,similar,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:30:17,carnegie mellon ai,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:30:18,e,searchbox,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:30:21,Data management,direct,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:30:23,carnegie mellon artificial intelligence,searchbox,,,,,,,,,,,,,
QI92,green,2019-11-11 19:30:23,web programming,searchbox,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:30:25,Machine learning,similar,,,,,,,,,,,,,
DU58,green,2019-11-11 19:30:25,ai,searchbox,,,,,,,,,,,,,
WOTF,green,2019-11-11 19:30:31,data analytics and artificial intelligence ,searchbox,,,,,,,,,,,,,
DU58,green,2019-11-11 19:30:31,artificial intelligence,searchbox,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:30:32,Programming language,details,,,,,,,,,,,,,
WOTF,green,2019-11-11 19:30:33,data analytics and artificial intelligence ,searchbox,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:30:36,pittsburgh artificial intelligence,searchbox,,,,,,,,,,,,,
9HVH,red,2019-11-11 19:30:37,Feature learning,details,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:30:41,pittsburgh machine learning,searchbox,,,,,,,,,,,,,
TDFS,blue,2019-11-11 19:30:41,Wireless network,direct,,,,,,,,,,,,,
ZCNM,yellow,2019-11-11 19:30:45,machine learning,searchbox,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:30:45,Evidence based medicine,remove,,,,,,,,,,,,,
01UI,green,2019-11-11 19:30:48,Face recognition,searchbox,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:30:51,Artificial intelligence,direct,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:30:52,a,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:30:53,c,searchbox,,,,,,,,,,,,,
LHQ5,blue,2019-11-11 19:30:54,Data analysis,direct,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:30:55,b,searchbox,,,,,,,,,,,,,
TYNN,yellow,2019-11-11 19:30:55,computer architecture cyber security reverse engineering,searchbox,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:30:56,Machine learning,similar,,,,,,,,,,,,,
TDFS,blue,2019-11-11 19:30:57,Computer security,direct,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:31:01,Reinforcement learning,similar,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:31:04,Computer architecture,similar,,,,,,,,,,,,,
801Z,red,2019-11-11 19:31:10,data,searchbox,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:31:11,Data science,direct,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:31:11,Embedded system,remove,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:31:13,Reinforcement learning,remove,,,,,,,,,,,,,
TYNN,yellow,2019-11-11 19:31:15,computer architecture cyber security penetration testing,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:31:16,h,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:31:18,f,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:31:19,a,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:31:20,s,searchbox,,,,,,,,,,,,,
8IVJ,yellow,2019-11-11 19:31:22,data analytics,searchbox,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:31:25,Instruction scheduling,details,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:31:32,Parallel computing,similar,,,,,,,,,,,,,
CVVU,yellow,2019-11-11 19:31:32,computer science,searchbox,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:31:33,Virtual reality,remove,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:31:36,Embedded system,similar,,,,,,,,,,,,,
8IVJ,yellow,2019-11-11 19:31:37,data science,searchbox,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:31:43,Game design,direct,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:31:47,pittsburgh computer model,searchbox,,,,,,,,,,,,,
DJEG,yellow,2019-11-11 19:31:52,Artificial intelligence,direct,,,,,,,,,,,,,
HSWX,blue,2019-11-11 19:31:53,Mobile malware,details,,,,,,,,,,,,,
DJEG,yellow,2019-11-11 19:31:55,Machine learning,similar,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:31:57,Operating system,similar,,,,,,,,,,,,,
LHQ5,blue,2019-11-11 19:32:00,Artificial intelligence,details,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:32:02,Data warehouse,remove,,,,,,,,,,,,,
FGGG,blue,2019-11-11 19:32:03,Information science,direct,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:32:06,Machine learning,similar,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:32:08,Machine learning,similar,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:32:09,Artificial intelligence,similar,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:32:11,Computer architecture,remove,,,,,,,,,,,,,
